Country,State,Year,Sector,"Number Of Tuberculosis (Tb) Patients With Known Tobacco Usage Status (UOM:Number), Scaling Factor:1","Percentage Of Tuberculosis (Tb) Patients With Known Tobacco Usage Status (UOM:%(Percentage)), Scaling Factor:1","Number Of Tobacco Users Identified Amongst Screened (UOM:Number), Scaling Factor:1","Percentage Of Tobacco Users Identified Amongst Screened (UOM:%(Percentage)), Scaling Factor:1","Number Of Tobacco Users Linked With Tobacco Cessation Centres (UOM:Number), Scaling Factor:1","Percentage Of Tobacco Users Linked With Tobacco Cessation Centres (UOM:%(Percentage)), Scaling Factor:1","Number Of Tuberculosis (Tb) Diabetes Mellitus (Dm) Patients Linked To Diabetic Treatment (UOM:Number), Scaling Factor:1","Number Of Tuberculosis (Tb) Diabetes Comorbid Patients (UOM:Number), Scaling Factor:1","Number Of Tuberculosis (Tb) Patients Notified (UOM:Number), Scaling Factor:1","Number Of Tuberculosis (Tb) Patients With Glucose Know Blood Status (UOM:Number), Scaling Factor:1"
India,Bihar,"Calendar Year (Jan - Dec), 2022",Public,34313.0,54.0,4203.0,12.0,857.0,20.0,,,,
India,Bihar,"Calendar Year (Jan - Dec), 2022",Private,39063.0,55.0,3198.0,8.0,62.0,2.0,,,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Public,2850.0,91.0,169.0,6.0,102.0,60.0,,,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Private,77.0,64.0,0.0,0.0,,,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Public,21280.0,84.0,6572.0,31.0,3118.0,47.0,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Private,4208.0,58.0,344.0,8.0,186.0,54.0,,,,
India,Delhi,"Calendar Year (Jan - Dec), 2022",Public,43358.0,64.0,2833.0,7.0,711.0,25.0,,,,
India,Delhi,"Calendar Year (Jan - Dec), 2022",Private,5474.0,33.0,137.0,3.0,27.0,20.0,,,,
India,Goa,"Calendar Year (Jan - Dec), 2022",Public,1504.0,91.0,116.0,8.0,8.0,7.0,,,,
India,Goa,"Calendar Year (Jan - Dec), 2022",Private,32.0,8.0,1.0,3.0,0.0,0.0,,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Public,97439.0,97.0,16835.0,17.0,7133.0,42.0,,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Private,37255.0,92.0,3451.0,9.0,1386.0,40.0,,,,
India,Haryana,"Calendar Year (Jan - Dec), 2022",Public,45995.0,88.0,1984.0,4.0,890.0,45.0,,,,
India,Haryana,"Calendar Year (Jan - Dec), 2022",Private,15922.0,85.0,674.0,4.0,178.0,26.0,,,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Public,13951.0,98.0,1956.0,14.0,1831.0,94.0,,,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Private,547.0,95.0,42.0,8.0,34.0,81.0,,,,
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2022",Public,7525.0,73.0,582.0,8.0,205.0,35.0,,,,
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2022",Private,488.0,75.0,18.0,4.0,6.0,33.0,,,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Public,23696.0,65.0,3202.0,14.0,1085.0,34.0,,,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Private,4109.0,25.0,190.0,5.0,39.0,21.0,,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Public,52227.0,88.0,9211.0,18.0,2952.0,32.0,,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Private,9392.0,78.0,472.0,5.0,152.0,32.0,,,,
India,Kerala,"Calendar Year (Jan - Dec), 2022",Public,16539.0,87.0,2289.0,14.0,1572.0,69.0,,,,
India,Kerala,"Calendar Year (Jan - Dec), 2022",Private,2149.0,69.0,140.0,7.0,82.0,59.0,,,,
India,Ladakh,"Calendar Year (Jan - Dec), 2022",Public,214.0,73.0,6.0,3.0,0.0,0.0,,,,
India,Ladakh,"Calendar Year (Jan - Dec), 2022",Private,17.0,71.0,0.0,0.0,,,,,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022",Public,20.0,100.0,0.0,0.0,,,,,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022",Private,,,,,,,,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022",Public,75801.0,63.0,12259.0,16.0,2061.0,17.0,,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022",Private,26134.0,55.0,837.0,3.0,187.0,22.0,,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",Public,105457.0,83.0,10270.0,10.0,3415.0,33.0,,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",Private,47223.0,67.0,1339.0,3.0,335.0,25.0,,,,
India,Manipur,"Calendar Year (Jan - Dec), 2022",Public,1112.0,66.0,238.0,21.0,41.0,17.0,,,,
India,Manipur,"Calendar Year (Jan - Dec), 2022",Private,77.0,41.0,14.0,18.0,2.0,14.0,,,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2022",Public,3117.0,81.0,1179.0,38.0,217.0,18.0,,,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2022",Private,235.0,66.0,156.0,66.0,12.0,8.0,,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2022",Public,1517.0,95.0,539.0,36.0,332.0,62.0,,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2022",Private,192.0,100.0,80.0,42.0,57.0,71.0,,,,
India,Nagaland,"Calendar Year (Jan - Dec), 2022",Public,2610.0,83.0,396.0,15.0,244.0,62.0,,,,
India,Nagaland,"Calendar Year (Jan - Dec), 2022",Private,394.0,74.0,69.0,18.0,34.0,49.0,,,,
India,Odisha,"Calendar Year (Jan - Dec), 2022",Public,44875.0,93.0,8567.0,19.0,3637.0,42.0,,,,
India,Odisha,"Calendar Year (Jan - Dec), 2022",Private,3526.0,89.0,206.0,6.0,121.0,59.0,,,,
India,Puducherry,"Calendar Year (Jan - Dec), 2022",Public,1375.0,98.0,213.0,15.0,208.0,98.0,,,,
India,Puducherry,"Calendar Year (Jan - Dec), 2022",Private,,,,,,,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2022",Public,32706.0,85.0,1385.0,4.0,251.0,18.0,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2022",Private,8748.0,64.0,150.0,2.0,2.0,1.0,,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2022",Public,84291.0,78.0,7215.0,9.0,2090.0,29.0,,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2022",Private,31990.0,74.0,2401.0,8.0,641.0,27.0,,,,
India,Sikkim,"Calendar Year (Jan - Dec), 2022",Public,794.0,59.0,69.0,9.0,2.0,3.0,,,,
India,Sikkim,"Calendar Year (Jan - Dec), 2022",Private,72.0,73.0,3.0,4.0,3.0,100.0,,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",Public,61338.0,89.0,11602.0,19.0,2558.0,22.0,,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",Private,11624.0,74.0,807.0,7.0,117.0,14.0,,,,
India,Telangana,"Calendar Year (Jan - Dec), 2022",Public,41637.0,94.0,5618.0,13.0,2549.0,45.0,,,,
India,Telangana,"Calendar Year (Jan - Dec), 2022",Private,15167.0,90.0,943.0,6.0,522.0,55.0,,,,
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2022",Public,433.0,61.0,53.0,12.0,40.0,75.0,,,,
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2022",Private,40.0,80.0,1.0,3.0,1.0,100.0,,,,
India,Tripura,"Calendar Year (Jan - Dec), 2022",Public,1991.0,72.0,266.0,13.0,17.0,6.0,,,,
India,Tripura,"Calendar Year (Jan - Dec), 2022",Private,9.0,69.0,1.0,11.0,0.0,0.0,,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Public,233920.0,67.0,23646.0,10.0,4803.0,20.0,,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Private,48157.0,42.0,4351.0,9.0,309.0,7.0,,,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022",Public,14286.0,74.0,1407.0,10.0,415.0,29.0,,,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022",Private,2525.0,58.0,143.0,6.0,41.0,29.0,,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2022",Public,70889.0,86.0,15654.0,22.0,4839.0,31.0,,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2022",Private,7706.0,84.0,1060.0,14.0,435.0,41.0,,,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Public,393.0,81.0,78.0,20.0,15.0,19.0,,,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Private,,,,,,,,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021",Public,42873.0,90.0,7098.0,17.0,1271.0,18.0,,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021",Private,15135.0,88.0,966.0,6.0,182.0,19.0,,,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021",Public,2078.0,80.0,171.0,8.0,75.0,44.0,,,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021",Private,4.0,100.0,,0.0,,,,,,
India,Assam,"Calendar Year (Jan - Dec), 2021",Public,19926.0,63.0,6024.0,30.0,1032.0,17.0,,,,
India,Assam,"Calendar Year (Jan - Dec), 2021",Private,1830.0,50.0,338.0,18.0,125.0,37.0,,,,
India,Bihar,"Calendar Year (Jan - Dec), 2021",Public,29490.0,54.0,4098.0,14.0,683.0,17.0,,,,
India,Bihar,"Calendar Year (Jan - Dec), 2021",Private,17500.0,37.0,1925.0,11.0,53.0,3.0,,,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2021",Public,2402.0,89.0,213.0,9.0,74.0,35.0,,,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2021",Private,174.0,62.0,10.0,6.0,2.0,20.0,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2021",Public,18647.0,84.0,6033.0,32.0,3159.0,52.0,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2021",Private,3247.0,45.0,388.0,12.0,99.0,26.0,,,,
India,Delhi,"Calendar Year (Jan - Dec), 2021",Public,33722.0,58.0,2636.0,8.0,699.0,27.0,,,,
India,Delhi,"Calendar Year (Jan - Dec), 2021",Private,6038.0,33.0,196.0,3.0,18.0,9.0,,,,
India,Goa,"Calendar Year (Jan - Dec), 2021",Public,1172.0,88.0,59.0,5.0,6.0,10.0,,,,
India,Goa,"Calendar Year (Jan - Dec), 2021",Private,46.0,15.0,,0.0,,,,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2021",Public,75868.0,94.0,13693.0,18.0,4706.0,34.0,,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2021",Private,32621.0,84.0,3016.0,9.0,607.0,20.0,,,,
